"concept"	"list"	"set.number"	"response.number"	"right.answer"	"x"	"n"	"p"	"lower"	"upper"	"p.value"
"hg01"	"L2"	1	1	TRUE	16	22	0.727272727272727	NA	NA	NA
"hg01"	"L2"	2	1	TRUE	14	22	0.636363636363636	NA	NA	NA
"hg01"	"L2"	3	1	TRUE	5	22	0.227272727272727	NA	NA	NA
"hg01"	"L2"	3	2	TRUE	22	22	1	NA	NA	NA
"hg01"	"L2"	3	3	TRUE	1	22	0.0454545454545455	NA	NA	NA
"hg01"	"L2"	3	4	TRUE	21	22	0.954545454545455	NA	NA	NA
"hg01"	"L2"	4	1	TRUE	18	22	0.818181818181818	NA	NA	NA
"hg01"	"L2"	4	2	TRUE	11	22	0.5	NA	NA	NA
"hg01"	"L2"	4	3	TRUE	22	22	1	NA	NA	NA
"hg01"	"L2"	4	4	TRUE	22	22	1	NA	NA	NA
"hg01"	"L2"	5	1	TRUE	22	22	1	NA	NA	NA
"hg01"	"L2"	6	1	TRUE	21	22	0.954545454545455	NA	NA	NA
"hg01"	"L2"	6	2	TRUE	20	22	0.909090909090909	NA	NA	NA
"hg01"	"L2"	6	3	TRUE	22	22	1	NA	NA	NA
"hg01"	"L2"	7	1	TRUE	22	22	1	NA	NA	NA
"hg01"	"L2"	8	1	TRUE	22	22	1	NA	NA	NA
"hg01"	"L2"	8	2	TRUE	22	22	1	NA	NA	NA
"hg01"	"L2"	9	1	TRUE	22	22	1	NA	NA	NA
"hg01"	"L2"	10	1	TRUE	22	22	1	NA	NA	NA
"hg01"	"L2"	10	2	TRUE	22	22	1	NA	NA	NA
"hg01"	"L2"	11	1	TRUE	22	22	1	NA	NA	NA
"hg01"	"L2"	11	2	TRUE	22	22	1	NA	NA	NA
"hg01"	"L2"	11	3	TRUE	22	22	1	NA	NA	NA
"hg01"	"L2"	12	1	TRUE	22	22	1	NA	NA	NA
"hg01"	"L2"	12	2	TRUE	22	22	1	NA	NA	NA
"hg01"	"L2"	13	1	TRUE	22	22	1	NA	NA	NA
"hg01"	"L2"	13	2	TRUE	22	22	1	NA	NA	NA
"hg01"	"L2"	13	3	TRUE	22	22	1	NA	NA	NA
"hg01"	"L2"	13	4	TRUE	22	22	1	NA	NA	NA
"hg01"	"L2"	14	1	TRUE	22	22	1	NA	NA	NA
"hg01"	"L2"	14	2	TRUE	22	22	1	NA	NA	NA
"hg01"	"L2"	14	3	TRUE	22	22	1	NA	NA	NA
"hg01"	"L2"	14	4	TRUE	22	22	1	NA	NA	NA
"hg01"	"L2"	14	5	TRUE	22	22	1	NA	NA	NA
"hg01"	"L2"	15	1	TRUE	22	22	1	NA	NA	NA
"hg01"	"L2"	15	2	TRUE	22	22	1	NA	NA	NA
"hg01"	"L2"	16	1	TRUE	22	22	1	NA	NA	NA
"hg01"	"L2"	17	1	TRUE	22	22	1	NA	NA	NA
"hg01"	"L2"	17	2	TRUE	22	22	1	NA	NA	NA
"hg01"	"L2"	18	1	TRUE	22	22	1	NA	NA	NA
"hg01"	"L2"	18	2	TRUE	22	22	1	NA	NA	NA
"hg01"	"L2"	19	1	TRUE	22	22	1	NA	NA	NA
"hg01"	"L2"	19	2	TRUE	21	21	1	NA	NA	NA
"hg01"	"L2"	19	3	TRUE	22	22	1	NA	NA	NA
"hg01"	"L2"	19	4	TRUE	21	21	1	NA	NA	NA
"hg01"	"L2"	19	5	TRUE	21	21	1	NA	NA	NA
"hg01"	"L2"	20	1	TRUE	22	22	1	NA	NA	NA
"hg01"	"L2"	20	2	TRUE	22	22	1	NA	NA	NA
"hg01"	"L2"	20	3	TRUE	22	22	1	NA	NA	NA
"hg01"	"L2"	20	4	TRUE	22	22	1	NA	NA	NA
