"concept"	"list"	"set.number"	"response.number"	"is.held.out"
"hg01"	"L1"	1	1	FALSE
"hg01"	"L1"	1	2	FALSE
"hg01"	"L1"	1	3	FALSE
"hg01"	"L1"	1	4	FALSE
"hg01"	"L1"	2	1	FALSE
"hg01"	"L1"	2	2	FALSE
"hg01"	"L1"	2	3	FALSE
"hg01"	"L1"	2	4	FALSE
"hg01"	"L1"	2	5	FALSE
"hg01"	"L1"	3	1	FALSE
"hg01"	"L1"	4	1	FALSE
"hg01"	"L1"	4	2	FALSE
"hg01"	"L1"	4	3	FALSE
"hg01"	"L1"	4	4	FALSE
"hg01"	"L1"	4	5	FALSE
"hg01"	"L1"	5	1	FALSE
"hg01"	"L1"	5	2	FALSE
"hg01"	"L1"	5	3	FALSE
"hg01"	"L1"	5	4	FALSE
"hg01"	"L1"	6	1	FALSE
"hg01"	"L1"	6	2	FALSE
"hg01"	"L1"	6	3	FALSE
"hg01"	"L1"	6	4	FALSE
"hg01"	"L1"	7	1	FALSE
"hg01"	"L1"	7	2	FALSE
"hg01"	"L1"	7	3	FALSE
"hg01"	"L1"	7	4	FALSE
"hg01"	"L1"	8	1	FALSE
"hg01"	"L1"	9	1	FALSE
"hg01"	"L1"	9	2	FALSE
"hg01"	"L1"	9	3	FALSE
"hg01"	"L1"	9	4	FALSE
"hg01"	"L1"	10	1	FALSE
"hg01"	"L1"	10	2	FALSE
"hg01"	"L1"	10	3	FALSE
"hg01"	"L1"	10	4	FALSE
"hg01"	"L1"	11	1	FALSE
"hg01"	"L1"	11	2	FALSE
"hg01"	"L1"	11	3	FALSE
"hg01"	"L1"	11	4	FALSE
"hg01"	"L1"	12	1	FALSE
"hg01"	"L1"	12	2	FALSE
"hg01"	"L1"	13	1	FALSE
"hg01"	"L1"	13	2	FALSE
"hg01"	"L1"	14	1	FALSE
"hg01"	"L1"	14	2	FALSE
"hg01"	"L1"	14	3	FALSE
"hg01"	"L1"	14	4	FALSE
"hg01"	"L1"	14	5	FALSE
