# Loaded with 9 hypotheses, 10 rules, 81 data, and 2 nonterminals.
# Allocating memory 
# Setting up MCMC variables
# Starting MCMC
0 0	-668.4	-668.4	0.413274 0.745944 1.54785 1.43834 	1 0.0398738 0.0486676 0.249482 0.0338137 0.119074 0.033125 0.191891 0.0637814 0.220292 
0 1	-590.686	-590.686	0.346101 0.52506 1.07387 0.657786 	1 0.0597353 0.159205 0.117747 0.141814 0.0447554 0.187565 0.168648 0.0584711 0.062058 
0 2	-616.626	-616.626	0.765712 0.596857 0.496887 1.57875 	1 0.0124707 0.000895126 0.115638 0.256033 0.119844 0.0621512 0.203024 0.037164 0.192781 
0 3	-676.326	-676.326	0.894502 0.345147 0.654772 0.00887569 	1 0.0837922 0.0479189 0.212426 0.0335787 0.286326 0.0844352 0.0642832 0.0229441 0.164295 
1000 0	-145.753	-145.753	0.850103 0.408804 1.24827 1.42921 	1 0.967532 0.000765375 0.000724513 0.0122553 0.00755288 0.00239397 0.00497269 0.000847456 0.0029555 
1000 1	-122.178	-129.295	0.814853 0.243347 0.787546 0.607999 	1 0.933142 0.0165537 0.00746686 0.00285234 0.0159029 0.00831819 0.00143853 0.00264568 0.0116793 
1000 2	-33.6462	-33.6462	0.998558 0.444513 0.192941 1.71042 	1 0.485298 0.0229893 0.0378389 0.124328 0.0920579 0.069948 0.0446382 0.0388267 0.0840747 
1000 3	-39.7726	-40.3718	0.993061 0.383469 0.299999 0.0270122 	1 0.530671 0.0654731 0.080979 0.0804518 0.0237177 0.0305177 0.0928885 0.0367436 0.0585575 
2000 0	-60.7588	-110.914	0.998373 0.437854 0.853691 1.44601 	1 0.939013 0.00458649 0.00652973 0.0146303 0.00234948 0.00584216 0.00580373 0.0163761 0.00486925 
2000 1	-39.1573	-39.1573	0.992916 0.179788 0.329559 0.784634 	1 0.557249 0.0278301 0.0652084 0.0176675 0.0835314 0.0571131 0.0582032 0.0965178 0.0366795 
2000 2	-35.769	-35.769	0.998633 0.6087 0.173922 1.76322 	1 0.411364 0.0134756 0.0964594 0.0504911 0.0139019 0.164052 0.0793605 0.0827818 0.0881132 
2000 3	-32.6114	-32.6114	0.998264 0.512377 0.0421363 0.0670453 	1 0.264832 0.0644992 0.137515 0.114763 0.157148 0.0849172 0.0142649 0.0845353 0.0775262 
3000 0	-48.8713	-49.9084	0.99869 0.414032 0.592259 1.25089 	1 0.85258 0.00463504 0.00517092 0.00362208 0.0283113 0.028929 0.0133501 0.0269814 0.0364201 
3000 1	-33.9608	-33.9608	0.99609 0.22114 0.236075 0.837496 	1 0.489235 0.0386628 0.0702301 0.0295562 0.0424186 0.0580466 0.0855238 0.120473 0.0658536 
3000 2	-33.6666	-33.6666	0.998334 0.619744 0.0110998 1.80951 	1 0.22138 0.101331 0.138873 0.0552389 0.151017 0.0818398 0.116671 0.0178987 0.115752 
3000 3	-33.4997	-272.374	0.995651 0.702446 0.088938 0.168276 	1 0.341163 0.0629097 0.0498236 0.172456 0.0178787 0.0667187 0.0735451 0.0640612 0.151443 
4000 0	-37.8029	-37.8029	0.998011 0.407473 0.326958 1.4996 	1 0.633093 0.0452819 0.0577793 0.0290194 0.0295421 0.0334406 0.047482 0.0156875 0.108675 
4000 1	-32.6219	-32.6219	0.995222 0.293624 0.0282891 0.79176 	1 0.300455 0.0455321 0.0719023 0.0428827 0.110683 0.0753988 0.133504 0.15874 0.0609021 
4000 2	-33.7983	-33.7983	0.997176 0.530246 0.0666579 1.69086 	1 0.342208 0.0928222 0.0790407 0.116081 0.0192521 0.119361 0.125133 0.0142671 0.0918352 
4000 3	-33.4589	-33.4589	0.998787 0.649851 0.010353 0.0439365 	1 0.218936 0.0501445 0.149051 0.0612075 0.138857 0.0714518 0.0721318 0.188033 0.0501873 
5000 0	-31.9153	-31.9153	0.997945 0.362299 0.0562793 1.60873 	1 0.266768 0.0840101 0.0695408 0.111192 0.156931 0.117178 0.0901278 0.021416 0.0828356 
5000 1	-31.9487	-31.9487	0.994111 0.271092 0.0440509 0.882454 	1 0.236374 0.0737357 0.102237 0.114571 0.142471 0.043467 0.092667 0.0560674 0.13841 
5000 2	-36.2501	-36.2501	0.996009 0.587508 0.101662 1.85338 	1 0.32685 0.152524 0.0133986 0.151739 0.0114626 0.166347 0.0773601 0.0509343 0.0493845 
5000 3	-32.3385	-32.3385	0.998906 0.819384 0.0152963 0.161725 	1 0.21305 0.047489 0.122746 0.0718376 0.105774 0.0812273 0.0338803 0.191207 0.132788 
6000 0	-33.6433	-578.2	0.995832 0.379762 0.0485553 1.58888 	1 0.218885 0.0848897 0.0261992 0.108505 0.135989 0.129934 0.0524164 0.164831 0.0783509 
6000 1	-33.7834	-33.7834	0.993303 0.115653 0.0685604 0.766607 	1 0.378127 0.0390949 0.0354571 0.071594 0.125225 0.0694111 0.0180404 0.0854153 0.177635 
6000 2	-34.6394	-38.1499	0.9932 0.460388 0.0106312 1.95203 	1 0.159987 0.129378 0.144762 0.103194 0.0873371 0.11927 0.0732536 0.0682957 0.114524 
6000 3	-33.5954	-33.5954	0.997363 0.886969 0.0151055 0.203575 	1 0.31484 0.15219 0.113784 0.0171596 0.0573148 0.104814 0.0590699 0.0934713 0.0873567 
7000 0	-34.3644	-33.0076	0.994247 0.451724 0.128837 1.5263 	1 0.423325 0.0708326 0.0796469 0.0894687 0.0478234 0.0365787 0.165701 0.0521721 0.0344515 
7000 1	-33.8193	-35.3048	0.988981 0.218019 0.0504576 0.758495 	1 0.290701 0.123895 0.114436 0.0450337 0.133654 0.0764192 0.0979582 0.0375192 0.080383 
7000 2	-32.7273	-32.7273	0.997665 0.439673 0.0394984 1.96293 	1 0.29657 0.0563476 0.0970388 0.149589 0.0926181 0.0440755 0.127141 0.0713537 0.065266 
7000 3	-33.0076	-44.945	0.993929 0.951669 0.0521051 0.20221 	1 0.243301 0.0723904 0.0974776 0.108016 0.0618002 0.130617 0.0487072 0.0976666 0.140023 
8000 0	-33.3075	-33.3075	0.996531 0.382396 0.059107 1.38706 	1 0.337896 0.180208 0.100161 0.017631 0.105627 0.0439795 0.105522 0.0456105 0.0633654 
8000 1	-30.9221	-30.9221	0.99894 0.223783 0.0157062 0.705397 	1 0.22871 0.0742275 0.0574296 0.121654 0.139693 0.109958 0.0635139 0.13353 0.0712825 
8000 2	-34.3219	-220.419	0.99674 0.439951 0.0151141 1.92006 	1 0.26506 0.133681 0.0499577 0.0720725 0.0320066 0.170955 0.0707966 0.0528262 0.152644 
8000 3	-34.8609	-37.4006	0.997897 0.978655 0.0702893 0.249426 	1 0.295026 0.0910558 0.0146602 0.00213171 0.157488 0.150221 0.141186 0.0542134 0.0940175 
9000 0	-31.2513	-31.2513	0.997836 0.348332 0.0350386 1.34145 	1 0.245337 0.129971 0.0739511 0.08114 0.0566937 0.0626074 0.128351 0.110479 0.111471 
9000 1	-32.0361	-32.0361	0.997922 0.339327 0.064 0.592939 	1 0.298313 0.0270654 0.0726297 0.179004 0.0245976 0.0732002 0.0420758 0.131248 0.151866 
9000 2	-33.5859	-33.5859	0.997354 0.535175 0.0193724 1.77482 	1 0.231781 0.163609 0.0691526 0.164627 0.0414461 0.147396 0.0295802 0.0669387 0.0854686 
9000 3	-31.9695	-55.3851	0.998813 0.865428 0.0169113 0.185873 	1 0.247019 0.0875239 0.11247 0.0932727 0.0909545 0.188419 0.0852415 0.067386 0.0277125 
10000 0	-31.8279	-31.8279	0.993982 0.183492 0.0427943 1.23522 	1 0.206451 0.0961401 0.130549 0.14083 0.0756357 0.0909118 0.0945215 0.108083 0.0568782 
10000 1	-32.5653	-31.8279	0.99286 0.123935 0.0773155 0.747641 	1 0.328867 0.0564156 0.113948 0.0446476 0.120294 0.04036 0.052139 0.0843439 0.158986 
10000 2	-34.1377	-163.914	0.99131 0.567043 0.102885 1.86727 	1 0.269082 0.0957196 0.0791863 0.118205 0.117858 0.0734334 0.0898474 0.0793183 0.0773494 
10000 3	-31.3843	-31.3843	0.998606 0.996667 0.111296 0.15073 	1 0.327088 0.122824 0.065204 0.14087 0.0602176 0.0829112 0.068068 0.0274382 0.105379 
11000 0	-33.5131	-35.9068	0.99474 0.121049 0.0549576 1.17362 	1 0.232657 0.160161 0.156945 0.0984111 0.0548231 0.071868 0.019225 0.0635642 0.142344 
11000 1	-31.9372	-31.9372	0.995072 0.216914 0.0779515 0.706628 	1 0.269847 0.126076 0.122469 0.108129 0.0709599 0.0366489 0.0959895 0.145922 0.0239584 
11000 2	-36.3307	-36.3307	0.994184 0.648204 0.0833621 1.78457 	1 0.261218 0.0959202 0.161949 0.0828047 0.0822774 0.0290217 0.157983 0.0415939 0.0872318 
11000 3	-36.6714	-36.3307	0.992221 0.835716 0.0107414 0.0623353 	1 0.239147 0.0604185 0.11895 0.136771 0.044663 0.0854979 0.0685958 0.203223 0.0427335 
12000 0	-31.1461	-31.1461	0.997951 0.192791 0.0184246 1.15352 	1 0.146991 0.0553438 0.108098 0.123424 0.109343 0.117749 0.127909 0.121726 0.0894156 
12000 1	-31.7738	-31.7738	0.998208 0.0321545 0.0347798 0.637107 	1 0.204177 0.0807559 0.135607 0.0942086 0.0202758 0.152805 0.164829 0.079368 0.067974 
12000 2	-33.8999	-33.8999	0.998541 0.840993 0.168704 1.78774 	1 0.361786 0.0278626 0.100635 0.077373 0.0242358 0.0937584 0.131663 0.0725195 0.110167 
12000 3	-36.2753	-36.2753	0.988464 0.810776 0.0930372 0.115357 	1 0.245349 0.115291 0.109914 0.0372936 0.0419943 0.0976813 0.114384 0.120869 0.117224 
13000 0	-32.1666	-32.9135	0.998561 0.299083 0.0289882 1.17341 	1 0.251817 0.0819151 0.122955 0.0124242 0.0786273 0.108266 0.0864281 0.182531 0.0750361 
13000 1	-32.0232	-32.0232	0.995754 0.141266 0.0568 0.579585 	1 0.318997 0.148478 0.0763232 0.0427495 0.0281667 0.0728544 0.0547689 0.159206 0.0984567 
13000 2	-32.8175	-32.8175	0.997403 0.756012 0.0362479 1.84105 	1 0.249645 0.172807 0.0864921 0.0858236 0.0556554 0.0328995 0.11577 0.10372 0.0971876 
13000 3	-32.9498	-32.9498	0.998157 0.776355 0.0316917 0.1877 	1 0.212928 0.152787 0.150467 0.14465 0.0775476 0.120247 0.0248411 0.106619 0.00991219 
14000 0	-33.6061	-33.6061	0.994584 0.238426 0.091239 1.26269 	1 0.38785 0.147377 0.0707185 0.114918 0.0259899 0.0898515 0.0445022 0.0247433 0.0940494 
14000 1	-32.0013	-33.1741	0.994777 0.314934 0.0902218 0.631905 	1 0.361193 0.0501412 0.0367768 0.0786077 0.10583 0.0898176 0.0550528 0.129436 0.0931446 
14000 2	-34.171	-33.1741	0.996201 0.717062 0.0629334 2.0654 	1 0.28986 0.101593 0.0775168 0.158799 0.0842527 0.0845121 0.131054 0.0597118 0.0126996 
14000 3	-33.637	-33.1741	0.998805 0.695738 0.0199917 0.293087 	1 0.277275 0.00736396 0.137226 0.047146 0.0399895 0.0619304 0.225954 0.0895674 0.113547 
15000 0	-35.6278	-34.4508	0.99016 0.230923 0.0196609 1.39005 	1 0.234893 0.13677 0.0782809 0.044626 0.167085 0.0160176 0.167126 0.0699936 0.0852081 
